ID,siteEffCan,mean10mEffCan,sd10mEffCan,mean30mEffCan,sd30mEffCan,site_area,gap_prop,patch_den,np,pd,ta,area_mn,area_sd,para_mn,para_sd,ai,cohesion,glcmCorrelation_mean,glcmCorrelation_sd,glcmContrast_mean,glcmContrast_sd,glcmEntropy_mean,glcmEntropy_sd,siteEffStories,mean10mEffStories,sd10mEffStories,mean30mEffStories,sd30mEffStories
EA-EWPL-6000-HAYL,2.57,1.38,0.73,1.53,0.87,28.430273335435988,0.02107612518987451,2.708380573465182,77,12850.467289719625,0.5992000000000001,0.007781818181818182,0.020994646731668523,1.3144170850793293,0.5138877375471979,90.25241979768268,95.56436888017387,0.35,0.27,5.33,3.76,2.88,0.37,3.92,3.21,0.81,3.58,0.57
EA-EWPL-6000-WIL4,3.29,1.53,0.87,1.85,1.04,9.710893905084767,0.023622953998074556,5.972673635084237,58,25283.34786399302,0.22940000000000002,0.003955172413793104,0.005172164785294761,1.3411158406651742,0.6944168903264925,92.28854592007488,89.62933521199261,0.37,0.28,5.02,4.86,2.76,0.46,3.92,3.21,0.81,3.58,0.57
EA-NC-0510-ARG2,1.85,1.14,0.54,1.32,0.77,10.935652199604736,0.9575652013126836,0.09144402014139993,1,9.549639023644906,10.4716,10.4716,NA,0.02064631956912029,NA,99.79260862901371,100,0.38,0.43,0,0.02,0,0.03,3.92,3.21,0.81,3.58,0.57
EA-NC-1020-HIGH,3.03,1.39,0.8,1.79,1.17,1.9860023741824668,0.8229093888534528,0.5035240707663543,1,61.18827632625589,1.6343,1.6343,NA,0.06522670256378878,NA,99.14585260561208,99.99999999999999,0.24,0.29,0.46,2.15,0.53,0.77,3.92,3.21,0.81,3.58,0.57
EA-NC-1020-LOSH,5.11,1.57,0.94,1.92,1.28,2.1203798052198253,0.49179868504354585,10.847113306484038,23,2205.60030686613,1.0428,0.04533913043478261,0.17921439608146955,1.269843580748313,0.6338787461345512,94.35839002661876,99.49273860137112,0.3,0.3,1.23,1.41,1.63,0.98,3.92,3.21,0.81,3.58,0.57
EA-NC-1020-SUGL,2.19,1.24,0.62,1.42,0.86,9.999823168403655,0.9146061731269622,3.0000530504170024,30,328.01583223083566,9.145900000000001,0.3048633333333334,1.6669345405271017,2.8682281701070984,1.1136907603724855,99.46732251767938,99.96448954188158,0.22,0.3,0.07,0.37,0.11,0.43,3.92,3.21,0.81,3.58,0.57
EA-NC-2030-ARG1,2.95,1.46,0.81,1.7,1.01,17.297557530530916,0.861433758708398,1.503102386224697,26,174.48844685149015,14.900700000000002,0.5731038461538462,2.9130090032790177,1.6313709734965691,0.6664115336429176,98.63109428426985,99.98573779407903,0.25,0.3,0.34,1.04,0.57,0.86,3.92,3.21,0.81,3.58,0.57
EA-NC-2030-WIL2,4.04,1.5,0.75,1.87,1.01,2.654144208003022,0.5290217448495178,9.042462699514582,24,1709.2799658144006,1.4041000000000001,0.05850416666666667,0.2649493626421712,1.8558740498594404,1.2117448482759159,96.44411195806374,99.73763792011991,0.25,0.29,0.28,0.24,0.97,0.61,3.92,3.21,0.81,3.58,0.57
EA-NC-3040-WIL3,3.89,1.44,0.68,1.69,0.88,1.6173254109736532,0.09991804920860946,25.968799918079192,42,25990.09900990099,0.1616,0.0038476190476190476,0.005978711750268537,1.4734867858808887,0.6998981494224235,89.22792870217148,91.11471690020049,0.31,0.27,0.87,0.75,1.84,0.55,3.92,3.21,0.81,3.58,0.57
EA-NC-6000-HAYL,3.43,1.41,0.85,1.59,1,2.605801725971233,0.04616621395289078,8.058940091527068,21,17456.359102244387,0.1203,0.005728571428571429,0.0127415125812104,1.5661191093213733,1.0518404662486005,90.81665257929309,94.32324855827069,0.38,0.27,3.82,7.04,2.42,0.6,3.92,3.21,0.81,3.58,0.57
