"","ID","siteFHD_gaps","siteFHD_gapless","mean10mFHD_gaps","sd10mFHD_gaps","mean30mFHD_gaps","sd30mFHD_gaps","mean10mFHD_gapless","sd10mFHD_gapless","mean30mFHD_gapless","sd30mFHD_gapless"
"178","SE-PL-2030-OLDP",4.1,4.1,3.66,0.63,3.87,0.42,3.66,0.63,3.87,0.42
"179","SE-PL-3040-RAVE",3.32,3.32,2.86,0.66,3.15,0.48,2.86,0.66,3.15,0.48
"180","SE-PL-5060-BOWD",3.42,3.42,3.03,0.66,3.21,0.5,3.03,0.66,3.21,0.5
"181","SH_M1",4.21,4.21,3.49,0.6,3.76,0.45,3.49,0.6,3.76,0.45
"182","SH_M2",4.08,4.08,3.26,0.76,3.55,0.5,3.26,0.76,3.55,0.5
"183","SH_P1",3.9,3.9,2.58,1.02,2.95,0.88,2.58,1.02,2.95,0.88
"184","WE-EWNC-1020-PIDD",3.45,3.45,2.97,0.52,3.21,0.49,2.97,0.52,3.21,0.49
"185","WE-EWNC-1020-SWAN",3.34,3.34,2.86,0.63,2.99,0.54,2.86,0.63,2.99,0.54
"186","WE-EWNC-2030-CHUR",3.4,3.4,3.06,0.57,3.22,0.43,3.06,0.57,3.22,0.43
"187","WE-EWNC-3040-WYTH",4.18,4.18,3.44,0.74,3.55,0.81,3.44,0.74,3.55,0.81
"188","WE-EWPL-1020-PIDD",3.71,3.71,3.21,0.49,3.42,0.4,3.21,0.49,3.42,0.4
"189","WE-EWPL-1020-SWAN",4.52,4.52,3.43,0.78,3.74,0.77,3.43,0.78,3.74,0.77
"190","WE-EWPL-2030-CHUR",2.79,2.79,2.54,0.5,2.7,0.45,2.54,0.5,2.7,0.45
"191","WE-EWPL-3040-WYTH",4.23,4.23,3.14,0.92,3.54,0.89,3.14,0.92,3.54,0.89
"192","WE-NC-1020-PIDD",2.64,2.64,1.86,1.08,2.22,1.22,1.86,1.08,2.22,1.22
"193","WE-NC-1020-SWAN",3.48,3.48,3.06,0.46,3.17,0.52,3.06,0.46,3.17,0.52
"194","WE-NC-2030-CHUR",3.35,3.35,2.81,0.69,3.2,0.53,2.81,0.69,3.2,0.53
"195","WE-NC-3040-WYTH",4.35,4.35,3.39,0.76,3.71,0.61,3.39,0.76,3.71,0.61
"196","WE-PL-1020-PIDD",2.83,2.83,2.37,0.62,2.62,0.56,2.37,0.62,2.62,0.56
"197","WE-PL-1020-SWAN",2.91,2.91,2.41,0.75,2.74,0.58,2.41,0.75,2.74,0.58
"198","WE-PL-2030-CHUR",3.25,3.25,2.8,0.48,3.09,0.36,2.8,0.48,3.09,0.36
"199","WE-PL-3040-WYTH",3.73,3.73,3.06,0.57,3.39,0.5,3.06,0.57,3.39,0.5
"200","WT4509",3.79,3.79,3.12,0.71,3.39,0.63,3.12,0.71,3.39,0.63
"201","WT4688",2.65,2.65,2.3,0.78,2.58,0.71,2.3,0.78,2.58,0.71
"202","WT4691",3.45,3.45,2.8,0.78,3.09,0.61,2.8,0.78,3.09,0.61
"203","WT4832",3.41,3.41,2.85,0.73,3.2,0.5,2.85,0.73,3.2,0.5
"204","WT4945",3.82,3.82,3.13,0.68,3.4,0.57,3.13,0.68,3.4,0.57
"205","WT4975",3.62,3.62,2.98,0.77,3.29,0.6,2.98,0.77,3.29,0.6
"206","WT5163",3.2,3.2,2.64,0.67,2.88,0.54,2.64,0.67,2.88,0.54
"207","WT5210",3.85,3.85,3.16,0.78,3.51,0.59,3.16,0.78,3.51,0.59
"208","WT5226",3.72,3.72,2.94,0.64,3.16,0.69,2.94,0.64,3.16,0.69
"209","WT5231",3.7,3.7,3.14,0.73,3.55,0.54,3.14,0.73,3.55,0.54
"210","WT5233",2.56,2.56,2.26,0.6,2.52,0.57,2.26,0.6,2.52,0.57
"211","WT5291",3.06,3.06,2.63,0.6,2.81,0.55,2.63,0.6,2.81,0.55
