"","level","site_id","area","perim","para"
"477","patch","182014",2e-04,6,3
"478","patch","182014",0.0013,20,1.53846153846154
"479","patch","182014",0.0019,22,1.15789473684211
"480","patch","182014",0.0098,78,0.795918367346939
"481","patch","182014",1e-04,4,4
"482","patch","182014",0.041,176,0.429268292682927
"483","patch","182014",0.005,36,0.72
"484","patch","182014",0.0036,30,0.833333333333333
"485","patch","182014",0.0042,44,1.04761904761905
"486","patch","182014",0.0082,66,0.804878048780488
"487","patch","182014",0.0032,36,1.125
"488","patch","182014",5e-04,10,2
"489","patch","182014",0.0016,20,1.25
"490","patch","182014",6e-04,12,2
"491","patch","182014",0.0047,38,0.808510638297872
"492","patch","182014",0.0013,20,1.53846153846154
"493","patch","182014",0.0019,22,1.15789473684211
"494","patch","182014",0.0067,44,0.656716417910448
"495","patch","182014",0.0066,50,0.757575757575758
"496","patch","182014",0.001,14,1.4
"497","patch","182014",6e-04,10,1.66666666666667
"498","patch","182014",0.007,74,1.05714285714286
"499","patch","182014",0.0014,18,1.28571428571429
"500","patch","182014",0.0043,30,0.697674418604651
"501","patch","182014",0.0072,56,0.777777777777778
"502","patch","182014",0.0046,34,0.739130434782609
"503","patch","182014",0.0074,54,0.72972972972973
"504","patch","182014",0.0013,16,1.23076923076923
"505","patch","182014",6e-04,12,2
"506","patch","182014",9e-04,14,1.55555555555556
"507","patch","182014",5e-04,10,2
"508","patch","182014",0.0244,148,0.60655737704918
"509","patch","182014",0.0011,16,1.45454545454545
"510","patch","182014",0.0017,20,1.17647058823529
"511","patch","182014",0.0037,40,1.08108108108108
"512","patch","182014",5e-04,10,2
"513","patch","182014",5e-04,10,2
"514","patch","182014",0.0018,20,1.11111111111111
"515","patch","182014",0.0015,22,1.46666666666667
"516","patch","182458",0.0068,76,1.11764705882353
"517","patch","182458",0.0039,36,0.923076923076923
"518","patch","182458",0.0115,70,0.608695652173913
"519","patch","182458",0.0064,48,0.75
"520","patch","182458",0.0727,422,0.580467675378267
"521","patch","182458",3e-04,10,3.33333333333333
"522","patch","182458",0.0026,26,1
"523","patch","182458",0.0014,18,1.28571428571429
"524","patch","182458",8e-04,12,1.5
"525","patch","182458",0.0064,40,0.625
"526","patch","182458",9e-04,14,1.55555555555556
"527","patch","182458",6e-04,10,1.66666666666667
"528","patch","182458",0.0034,38,1.11764705882353
"529","patch","182458",0.0066,54,0.818181818181818
"530","patch","182458",0.0025,34,1.36
"531","patch","182458",0.0142,100,0.704225352112676
"532","patch","182458",0.0355,204,0.574647887323944
"533","patch","182458",7e-04,12,1.71428571428571
"534","patch","182458",6e-04,10,1.66666666666667
"535","patch","182458",0.0036,32,0.888888888888889
"536","patch","182458",9e-04,14,1.55555555555556
"537","patch","182458",0.0023,28,1.21739130434783
"538","patch","182458",5e-04,10,2
"539","patch","182458",0.0047,42,0.893617021276596
"540","patch","183278",0.0825,324,0.392727272727273
"541","patch","183278",6e-04,12,2
"542","patch","183278",0.0207,98,0.473429951690821
"543","patch","183278",0.0489,230,0.470347648261759
"544","patch","183278",0.0024,22,0.916666666666667
"545","patch","183278",1e-04,4,4
"546","patch","183278",1e-04,4,4
"547","patch","183278",9e-04,14,1.55555555555556
"548","patch","183278",0.0128,72,0.5625
"549","patch","183278",0.0042,42,1
"550","patch","183278",0.0122,74,0.60655737704918
"551","patch","183278",6e-04,12,2
"552","patch","183278",0.0062,44,0.709677419354839
"553","patch","183278",0.0012,16,1.33333333333333
"554","patch","183278",0.005,36,0.72
"555","patch","183278",0.0025,24,0.96
"556","patch","183278",0.0028,26,0.928571428571429
"557","patch","183278",0.002,22,1.1
"558","patch","183278",7e-04,12,1.71428571428571
"559","patch","183278",0.001,16,1.6
"560","patch","183278",0.0042,40,0.952380952380952
"561","patch","183278",0.003,26,0.866666666666667
"562","patch","183278",0.0044,36,0.818181818181818
"563","patch","183278",0.0037,30,0.810810810810811
"564","patch","183278",0.0037,34,0.918918918918919
"565","patch","183278",0.0296,110,0.371621621621622
"566","patch","183278",0.0049,36,0.73469387755102
"567","patch","183278",0.0014,18,1.28571428571429
"568","patch","183278",0.0438,160,0.365296803652968
"569","patch","183278",0.0036,32,0.888888888888889
"570","patch","183278",0.0016,24,1.5
"571","patch","183278",0.0052,54,1.03846153846154
"572","patch","183479",0.0017,20,1.17647058823529
"573","patch","183479",3e-04,8,2.66666666666667
"574","patch","183479",1e-04,4,4
"575","patch","183479",0.0059,38,0.644067796610169
"576","patch","183479",0.0024,24,1
"577","patch","183479",7e-04,12,1.71428571428571
"578","patch","183479",0.0026,30,1.15384615384615
"579","patch","183479",7e-04,12,1.71428571428571
"580","patch","183479",0.0019,26,1.36842105263158
"581","patch","183479",0.0015,18,1.2
"582","patch","183479",6e-04,10,1.66666666666667
"583","patch","186253",0.0249,162,0.650602409638554
"584","patch","186253",6e-04,14,2.33333333333333
"585","patch","186253",6e-04,14,2.33333333333333
"586","patch","186253",9e-04,14,1.55555555555556
"587","patch","186253",0.001,16,1.6
"588","patch","186253",7e-04,12,1.71428571428571
"589","patch","186449",0.0132,74,0.560606060606061
"590","patch","186449",0.076,384,0.505263157894737
"591","patch","186449",0.0552,308,0.557971014492754
"592","patch","186449",0.002,26,1.3
"593","patch","186449",0.0015,24,1.6
"594","patch","186449",0.0011,18,1.63636363636364
"595","patch","186449",2e-04,6,3
"596","patch","186449",0.0018,28,1.55555555555556
"597","patch","186449",9e-04,16,1.77777777777778
"598","patch","186449",0.0012,16,1.33333333333333
"599","patch","186449",0.0092,72,0.782608695652174
"600","patch","186449",0.0036,40,1.11111111111111
"601","patch","186449",0.0188,90,0.478723404255319
