"","scpt","cpmt","management_prescription","last_thinned","next_thin_date","selection_type","species","plyr","next_intervention_year","next_intervention_type","heightChange","gapArea_2017","gapArea_2024","meanFHD_2017","meanFHD_2024","stems_2017","stems_2024"
"382","B",4218,"crown and imtermediate thinning","2017<2024",2024,"Intermediate","Oak (robur/petraea)",1952,-1,"Felling",-0.34956000155316,224.167670705647,1109.8302167087,1.3317094017094,1.58384615384615,230,216
"383","J",4222,NA,"2017<2024",2024,"Intermediate","Scots pine",1964,2125,"Felling",-0.381285025557,404.300704811649,518.385583127827,1.69177777777778,1.73877777777778,68,57
"384","A",3145,NA,"< 2016",2029,"Neutral","Oak (robur/petraea)",1827,NA,NA,1.84715342088416,1015.74541269602,502.368672784098,1.17445945945946,1.17019144144144,209,205
"385","B",4463,"develop crowns through thinning
Pos future U/P","2017<2024",2027,"Intermediate","Scots pine",1958,-1,"Felling",-0.0233480260662705,3152.3675682902,2586.9429131806,2.05388429752066,1.95851239669421,166,159
"386","A",4430,NA,"2017<2024",2025,"Intermediate","Douglas fir",1965,-1,"Felling",0.950441236070013,767.576295275721,728.547020814141,1.9378125,1.7134375,395,346
"387","D",3300,NA,"2017<2024",2025,"Intermediate","Norway spruce",1969,2030,"Felling",2.70867484360546,898.674278094688,561.42124028282,1.55658333333333,1.54791666666667,166,175
"388","C",3221,NA,"2017<2024",2024,"Intermediate","Norway spruce",1964,-1,NA,3.11794640266399,0,0,1.55222222222222,1.4725,102,107
"389","I",4360,NA,"2017<2024",2026,"Intermediate","Scots pine",1963,-1,"Felling",-1.18701292551808,12.009002259445,286.21441899558,2.39361111111111,2.26972222222222,60,58
"390","A",4344,"Thinning","2017<2024",2024,"Intermediate","Oak (robur/petraea)",1953,-1,"Felling",0.8786456726377,958.71853869495,1305.97882986886,1.43454545454545,1.45940909090909,482,467
"391","E",4462,"Gradually reduce stocking in targeted areas removing upto 40-45% of trees","2017<2024",2025,"Intermediate","Norway spruce",1942,-1,"Felling",-4.66440407570627,199.149867028449,929.699716218885,1.92642857142857,2.43833333333333,102,83
